latbin,lonbin
27,-81
29,-97
29,-91
29,-83
31,-99
31,-93
31,-91
31,-89
33,-101
33,-97
33,-95
33,-93
33,-89
33,-87
33,-83
33,-79
35,-119
35,-113
35,-95
35,-93
35,-91
35,-89
35,-87
35,-85
35,-83
35,-81
35,-79
35,-77
37,-119
37,-101
37,-99
37,-97
37,-95
37,-93
37,-91
37,-89
37,-87
37,-83
37,-81
37,-79
37,-77
39,-123
39,-121
39,-113
39,-111
39,-109
39,-107
39,-105
39,-103
39,-99
39,-97
39,-95
39,-93
39,-91
39,-89
39,-87
39,-85
39,-83
39,-81
39,-79
39,-77
39,-75
41,-121
41,-117
41,-113
41,-111
41,-105
41,-103
41,-101
41,-99
41,-97
41,-95
41,-93
41,-91
41,-89
41,-87
41,-85
41,-83
41,-81
41,-79
41,-77
41,-75
41,-73
41,-71
43,-123
43,-113
43,-103
43,-99
43,-97
43,-95
43,-93
43,-91
43,-89
43,-87
43,-85
43,-83
43,-79
43,-77
43,-75
43,-73
43,-71
45,-123
45,-121
45,-113
45,-111
45,-109
45,-103
45,-99
45,-97
45,-95
45,-93
45,-91
45,-89
45,-87
45,-85
45,-73
45,-71
45,-69
47,-121
47,-119
47,-117
47,-109
47,-99
47,-97
47,-95
47,-93
47,-91
49,-123
49,-115
49,-101
