year,core,rest
1890,3.476431529662924,1.5747673358880363
1891,0.6227325363995162,2.6773080148507824
1892,2.177990285455089,2.0311612416154006
1893,4.020039396049962,2.3759467126724787
1894,5.902776262372462,1.5004519750426168
1895,0.5594039499335265,2.005469155704155
1896,13.459673656767182,4.511692197785936
1897,9.432573598599072,3.9350062924253812
1898,0.75168583851266,2.468402829623197
1899,7.3671767238796635,3.6597036364652693
1900,1.2640069110364898,3.683246823821044
1901,17.869806507290306,4.44449798146497
1902,6.0205820924809945,5.477831373360187
1903,0.9056121083592499,2.037817093510292
1904,0.30140640932103685,1.0030877514555019
1905,0.905856169834404,2.493086820533285
1906,0.9230776843879149,1.7975007797665405
1907,4.55550266531733,2.946747079681547
1908,0.5413794397657843,2.2996044224175654
1909,7.927068077391025,1.9807264881123805
1910,7.122306416866469,2.7448513719762047
1911,13.697382943038468,4.129046619866525
1912,4.990217374703523,2.650585772785993
1913,14.461301551794177,2.873048929634151
1914,10.305218742771482,4.7876909953596964
1915,2.475724408026343,3.860919700650429
1916,7.017703814165221,2.198780065728971
1917,8.848637345067392,3.3872262765473296
1918,18.04156596272608,4.442494057631836
1919,3.1261538290539437,1.8191731575198744
1920,1.2466254967082275,2.3048025515977844
1921,5.2249856858666295,3.923546845216271
1922,8.183306492345451,2.8786077126265033
1923,6.892638694560148,2.3951307784547335
1924,12.075084902248918,4.972696349931951
1925,15.514878034937782,6.608701834374072
1926,4.650393908227269,3.1128814077883695
1927,3.7294483890428345,3.498316143944387
1928,3.744735559779558,3.0667683621867465
1929,6.215154865842421,2.2192677225507613
1930,20.980211446661244,6.926550004762104
1931,9.443627783665612,4.988399606475947
1932,6.781944838599588,5.00892397189369
1933,10.753174482230124,4.400599827269367
1934,32.088350328724594,5.492725521803188
1935,8.614312202244507,3.189352030048297
1936,31.61506891213786,7.543831673138294
1937,13.005938321310637,4.245294375436573
1938,7.921088741609869,3.6612101335179617
1939,13.289239552929903,3.9271235143958076
1940,5.395395080110397,4.125653933538506
1941,4.441599636167663,3.592465789583871
1942,3.26451158403272,3.95062134449959
1943,15.19513194229284,5.06464006589377
1944,10.474329558830554,5.055927852247164
1945,2.6959324431280294,3.5024910795910724
1946,8.881524769516425,2.6656402777433383
1947,14.331165642083853,3.5903744671623827
1948,8.433668335340744,4.5733818899444865
1949,2.2159078048307346,3.349810724067256
1950,0.853231782030986,3.557352532533501
1951,11.770800199669443,5.927761704935982
1952,16.61822208873428,6.766627671815711
1953,15.647342032837383,6.081485322350823
1954,26.244925846208616,8.72159211705166
1955,5.41073606545146,2.99627426518447
1956,16.90857541883531,4.863622458971779
1957,8.205918011422968,4.389071062035429
1958,4.415024019728779,3.9761372035813918
1959,1.3743100776646073,3.2905034322416795
1960,5.827228553805438,3.722858940811986
1961,0.3422732175779402,2.5520302529801406
1962,9.380275420931625,4.833415292417417
1963,11.182874206648926,4.217396033536014
1964,11.06287403619087,3.420425612652713
1965,4.1480864712839995,2.4374545007335477
1966,7.275001634846343,3.347854531762713
1967,3.5572540161055293,2.6791942777989823
1968,0.8209697596678096,3.1849379772610797
1969,12.734160765068676,4.418300188470142
1970,9.306761452218124,3.425128918350492
1971,4.8408871603997214,2.445173527787094
1972,3.5737404031178555,2.9521395200739478
1973,1.4487443763462036,2.242051078337053
1974,6.707148626582374,2.3661860781015016
1975,0.6380835834344057,1.9605498353716069
1976,2.614096316702116,2.078496152268093
1977,8.50596616630564,5.3840607612425675
1978,14.965714893016811,3.961777210880493
1979,1.0011634621801206,3.355408462061296
1980,28.44068217242108,8.076019165020357
1981,5.991212197533991,5.093269256939873
1982,4.577575092845016,3.331902092274586
1983,10.392403693287767,5.322225665146708
1984,6.165513252162386,2.706913533074958
1985,8.113831202129232,3.848908563039373
1986,6.760506064977675,4.981275147082862
1987,6.617367739030879,4.803329048841135
1988,11.08122819624425,5.419098500695381
1989,2.38653673524272,4.092760180037112
1990,11.06151554560399,6.110279085284551
1991,4.239287648724827,3.1912424921212694
1992,0.4447317354996243,2.9559115430617493
1993,7.999978724990433,5.46237696059726
1994,4.585921803553615,3.534699680766376
1995,8.60168082012381,5.551801937715017
1996,5.903379926897131,4.389166036767106
1997,4.159465922497585,4.020741140236253
1998,22.63902554220411,7.379980433182488
1999,12.198036381135159,5.752452638265791
2000,19.54178772166165,6.540682589345128
2001,11.253335776072397,4.099485681925469
2002,4.289127162559008,4.916118676795525
2003,9.043123667600007,3.0862719809878993
2004,1.373623937227497,2.9184745131068
2005,8.986528394981645,5.249818290662468
2006,16.640180337494403,6.6085085012083695
2007,4.525915785092624,6.129434696599438
2008,7.6318575659664845,4.52215838653988
2009,10.13933177560036,5.597568397145562
2010,12.202742686436887,7.196066966418684
2011,34.813313920154876,9.176050555936037
2012,23.302809702926915,6.496281283244202
2013,8.56096689048718,3.514183805837386
2014,3.4791448504349662,3.964296656436549
2015,8.043913516175985,5.429907355988328
2016,8.305596988769812,6.317543137894731
2017,3.8265357178925656,4.870499977465314
2018,10.484408602265999,4.921957545559304
2019,7.4692292769350965,6.517274362411326
2020,6.643584997225652,6.202607692430728
2021,3.1031543475195758,3.7932088859742557
2022,20.71630260172779,6.050709452984935
2023,22.55194070307612,7.9071454793516365
2024,,
